aaron	Ааронов
aimless	беспредметный,бесцельный
aimlessly	бесцельно,прогнать,прогонять
aimlessness	беспредметность,бесцельность
air	ария,вентилировать,воздух,воздушный,выветривать
air-base	авиабаза
air-bladder	пузырь
air-bus	аэробус
air-conditioner	кондиционер
air-cushion	подушка
air-defence	противовоздушный
air-hole	отдушина,отдушник,продушина
air-liner	самолёт
air-operated	пневматический
air-route	авиалиния,авиатрасса
air-vent	отдушник
air-way	отдушина
aircraft	авиационный,авиация,аэроплан,самолёт
airdrome	аэродром
airfield	аэродром
airiness	воздушность
airing	выветривание
airless	безвоздушный
airline	авиакомпания,авиалиния
airman	авиатор
airplane	аэроплан,самолёт
airport	аэропорт
airship	аэростат,дирижабль
airship-building	дирижаблестроение
airway	авиалиния
airy	воздушный
aisle	проход
ajar	полуотворённый,полуоткрытый
akanje	аканье
akin	сродни,сродный
akyn	акын
alabaster	алебастр
alarm	ажитация,взволновать,волнение,волновать,всполошить
alarmed	встревоженный
alarming	тревожный
alarmism	паникёрство
alarmist	паникёр
alas	увы
alaska	аляска
alb	стихарь
albanian	албанец,албанка,албанский
albatross	альбатрос
albinism	альбинизм
albino	альбинос
album	альбом
albumen	альбумин,белковина,белок
albuminous	альбуминный,белковый
alburnum	заболонь
alchemist	алхимик
alchemy	алхимия
alcohol	алкоголь,спирт
alcoholic	алкоголик,алкогольный,спиртной
alcoholism	алкоголизм
alcoholize	проспиртовать,проспиртоваться
alcoholometer	спиртомер
alcove	альков
aldehyde	альдегид
alder	ольха
ale	эль
ale-house	пивная
alert	насторожённый,оповещение,тревога
alertness	бойкость,настороженность
aleutian	алеут,алеутка,алеутский
alexandrian	александрийский
alexandrine	александрийский
alexandrite	александрит
algae	водоросль
algebra	алгебра
algebraic	алгебраический
algeria	алжир
algerian	алжирец,алжирка,алжирский
algiers	алжир
algorithm	алгоритм
algorithmic	алгоритмический
alias	кличка,псевдоним
alibi	алиби
alien	заносный,инопланетный,инопланетянин,инородный,иноязычный
alienability	отчуждаемость
alienable	отчуждаемый
alienate	отдалить,отдалять,отталкивать,оттолкнуть,отчудить
alienated	оторванный,отчуждённый
alienation	оторванность,отрыв,отчуждение
alight	вылезать,вылезти,вылезть,высадиться,высаживаться
alighting	посадочный
align	выравнивать,выровнять
alignment	выравнивание,группировка,равнение,створ
alike	похожий,равно
alimony	алименты
alive	живой,живьём,заживо
alizarin	ализарин
alkali	щёлочь
alkaline	щелочной
alkaloid	алкалоид
all	весь,всё
all-absorbing	всепоглощающий
all-conquering	всепобеждающий
all-devouring	всепожирающий
all-embracing	всеобъемлющий
all-factory	общезаводский,общезаводской
all-forgiving	всепрощающий
all-knowing	всезнающий
all-out	развёрнутый,решительный
all-powerful	всемогущий,всесильный
all-round	всесторонний,многоборье
all-rounder	многоборец
all-russian	всероссийский,общероссийский
all-seeing	всевидящий
all-slav	всеславянский
all-the-year-round	круглогодовой
all-triumphant	всепобеждающий
