aaron	Ааронов
construct	конструировать,построить,прокладывать,проложить,сконструировать
construction	конструкция,построение,постройка,проведение,проводка
constructive	конструктивный,созидательный
constructivism	конструктивизм
constructivist	конструктивист
constructor	конструктор
construe	истолковать,истолковывать
construing	истолкование
consul	консул
consular	консульский
consulate	консульство
consult	консультировать,консультироваться,ознакомиться,проконсультироваться,советоваться
consultant	консультант
consultation	консультация,совещание
consultative	консультативный,совещательный
consume	жечь,израсходовать,иссушать,иссушить,потребить
consumer	потребитель,потребительница
consuming	сожжение
consumption	потребительный,потребление,расходование,употребление,чахотка
consumptive	туберкулёзный,чахоточный
contact	касание,контакт,соприкосновение
contagion	зараза,инфекция
contagious	заразительный,заразный,инфекционный
contain	вместить,вмещать,сдержать,сдерживать,содержаться
container	баллон,контейнер,контейнерный,танк
containing	содержащий
contaminate	заражать,заразить
contaminated	заражённый
contamination	загрязнение,заражённость,контаминация
contemplate	замыслить,замышлять,лицезреть,любоваться,намечать
contemplation	созерцание
contemplative	созерцательный
contemplator	созерцатель,созерцательница
contemporaneity	современность
contemporary	современник,современница
contempt	забвение,презрительность,пренебрежительность
contemptible	ничтожный,презренный
contemptuous	презрительный
contend	бороться,оспаривать,оспорить,поспорить,потягаться
contender	претендент,претендентка,соревнующийся
content	довольный,довольство,контент,содержание,удовлетворить
contented	удовлетворённый
contentment	довольство,нега,удовлетворённость
contents	оглавление,содержание,содержимое
contest	конкурс,олимпиада,оспаривать,оспорить,соревнование
context	контекст,рамка,содержание
contiguity	примыкание,смежность,соприкосновение,соприкосновенность
contiguous	прилегающий,прилежащий,смежный,сопредельный,соприкосновенный
continence	воздержание
continent	континент,материк
continental	континентальный
contingent	контингент
continual	беспрестанный,ежеминутный,ежесекундный,поминутный
continually	беспрестанно,ежеминутно,неотлучно,постоянно
continuation	продолжение
continue	поддерживать,продолжать,продолжаться,продолжить,сохраняться
continuer	продолжатель
continuity	бесперебойность,непрерывность,преемственность
continuous	безотлучный,беспрерывный,бессменный,непрерывный,сплошной
continuously	беспрерывно,бессменно,непрерывно
contour	абрис,контур,контурный
contours	очертание
contra-indicated	противопоказанный
contra-indication	противопоказание
contraband	контрабанда,контрабандный
contrabandist	контрабандист,контрабандистка
contrabass	контрабас
contraception	контрацепция
contraceptive	контрацептив,противозачаточный
contraceptive-	контрацептивный
contract	договор,заключать,законтрактовывать,контракт,контрактовать
contracted	сокращённый
contractile	сократимый
contractility	сократимость
contracting	контрактация
contraction	сведение,сужение
contractions	схватки
contractive	сократимый
contractor	контрагент,подрядчик
contractual	договорный
contradict	перечить,прекословить,противоречить
contradiction	прекословие,противоречие,разноречивость
contradictory	противоречивый,разноречивый
contralto	контральто
contralto-singer	контральто
contraposition	противопоставление
contrapuntal	контрапунктический,контрапунктный
contrary	противоположный
contrast	контраст,контрастировать,противоположность,противопоставить,противопоставлять
contrasting	контрастный,противопоставление
contribute	вносить,посодействовать,сотрудничать
contribution	вклад,дань,контрибуция
contrition	сокрушение
contrivance	приспособление,снаряд,ухищрение
contrive	измышлять,изобрести,изобретать,комбинировать,мастерить
control	вершить,диспетчерский,контролировать,контроль,модулировать
controllability	управляемость
controller	диспетчер,контроллер
controversial	дискуссионный,полемический,состязательный
controversialist	полемист
controversy	полемика,состязание,спор
contuse	контузить,ушибать,ушибить
contused	контуженный
contusion	контузия,ушиб
conundrum	головоломка
convalesce	выздоравливать,выздороветь
convalescence	выздоровление
convalescent	выздоравливающий
convection	конвекция
convene	созвать,созывать
convenience	удобство
convenient	сподручный,удобный
convent	монастырь
convention	конвент,конвенция,съезд,условность
conventional	конвенциональный,общепринятый,условный
conventionalism	казёнщина
conventionality	условность
convergence	конвергенция
converging	звёздный
conversant	осведомлённый
conversation	беседа,разговор
converse	беседовать,разговаривать
conversely	обратно
conversion	конверсионный,конверсия,обращение,перевод,превращение
convert	конвертировать,новообращённый,обратиться,обращать,переводить
converter	конвертер,преобразователь
convertibility	обратимость
convertible	обратимый
convex	выпуклый
convexity	выпуклость
convexo-concave	выпукло-вогнутый
convexo-convex	двояковыпуклый
convey	выражать,выразить,доставлять,перевезти,перевозить
conveyance	перевозка,провоз,развоз,развозка
conveyer	транспортёр
conveying	проводка,развозка
conveyor	конвейер
convict	заключённый,зек,каторжник,острожник,острожница
convicted	заключённый
conviction	осуждение,убеждённость
convictions	судимость
convince	вразумить,вразумлять,распропагандировать,убедить,убеждать
convinced	убеждённый
convincing	убедительный
convincingness	убедительность
convocation	созыв
convoke	собирать,собрать,созвать,созывать
convolvulus	вьюнок,повилика
convoy	караван,конвоировать,конвой,пасти,сопровождать
convulsion	конвульсия,судорога
convulsions	корчи,родимчик
convulsive	конвульсивный,судорожный
coo	ворковать
cooing	воркование
cook	вариться,готовить,кашевар,кок,кулинар
cook-house	кухня
cook-shop	кухмистерский,харчевня
cooked	сваренный
cooker	плита,плитка
cookery	кулинария,поваренный
cookie	лепёшка,печенье
cooking	варка,готовка,кулинария,кухня,поваренный
cool	выстуживать,классный,клёвый,крутой,остудить
cooled	застывший
cooler	охладитель
coolie	кули
cooling	охладительный,охлаждающий,охлаждение,прохладительный
coolly	свежо,хладнокровно
coolness	невозмутимость,охлаждение,прохлада,свежесть,хладнокровие
coon	енот
coop	клетка
cooper	бондарь,бочар
cooperage	бондарня
cooperation	сотрудничество
cop	мент,початок
copal	копал
coparcener	сонаследник,сонаследница
cope	одолевать,осваивать,освоить,осилить,сладить
copeck	копейка
copenhagen	Копенгаген
coping	освоение
copious	изобильный,сытный
copper	медеплавильный,медный,медь,медяк
copper-coloured	медно-красный
copper-founding	меднолитейный
copper-ore	меднорудный
copper-smith	медник
coppice	перелесок
copra	копра
copse	перелесок,роща
copula	связка
copulate	совокупиться,совокупляться,спариваться
copulation	совокупление
copy	выпись,калька,копировать,копия,перерисовать
copy-book	тетрадка,тетрадь
copy-cat	копиист
copy-holder	подчитчик
copying	выписка,копировальный,копирование,переписка,переписывание
copyist	копиист,копировщик,копировщица,переписчик,переписчица
coquet	кокетливый,кокетничать
coquetry	кокетство
coquette	вертихвостка,вертушка,кокетка,тряпичница
coquina	ракушечник
coral	коралл,коралловый
coralline	коралловый
corbel	консоль,кронштейн
cord	верёвка,корд,кордный,кордовый,перевязать
cordate	сердцевидный
cordial	душевный,задушевный,радушный,сердечный,тёплый
cordiality	радушие,сердечность,тепло,теплота
cordially	радушно,тепло
cordon	кордон,оцепление
corduroyroad	гать
core	зерно,сердечник,сердцевина,шишка,ядро
cored	полый
coreligionist	единоверец
coriander	кинза,кориандр
corinthian	коринфский
cork	пробка,пробковый
cork-tumbler	ванька-встанька
corking	закупорка,укупорка
corkscrew	пробочник,штопор
cormorant	баклан
corn	жито,зерно,кукуруза,маис,мозоль
corn-bin	закром
corn-chandler	лабазник
corn-crake	дергач,коростель
corn-crusher	зернодробилка
corn-cure	мозолин
corn-dealer	лабазник
cornea	роговица
cornel	кизил,кизиль
cornelian	сердолик
cornelian-cherry-tree	кизил,кизиль
corneous	роговидный,роговой
corner	скупать,скупить,угловой,угол,уголок
cornering	скупка
cornet	корнет
cornet-player	корнетист
cornetist	корнетист
cornfield	нива
cornflower	василёк
cornice	карниз,подзор
corniculate	роговидный
cornification	ороговение
corning	солка
corolla	венчик
corollaceous	венчиковидный,венчикообразный
corollary	следствие
corolliform	венчиковидный,венчикообразный
corona	венец,корона
coronal	венечный
coronation	венчание,коронация
corporal	ефрейтор,капрал,телесный
corporation	брюхо,корпорация,цех
corporative	корпоративный
corporeal	телесный
corps	корпус
corpse	мертвец,труп
corpulence	грузность,полнота,толщина,тучность
corpulent	грузный,корпулентный,толстый,тучный
corpuscle	корпускула,тельце
corpuscular	корпускулярный
correct	безошибочный,верный,выправлять,исправить,исправлять
corrected	правленый
correcting	исправление,правильный,правка
correction	исправление,корректив,корректирование,коррекция,помарка
correctional	исправительный
corrective	исправительный
correctly	верно,грамотно,правильно
correctness	безошибочность,верность,правильность,справедливость
correlate	коррелят,соотнести,соотносить
correlation	взаимосвязь,корреляция,соотношение
correlative	коррелятивный
correlativity	коррелятивность
correspond	соответствовать
correspondence	корреспонденция,переписка,соответствие
correspondent	корреспондент
corresponding	соответственный
correspondingly	соответственно
corrida	коррида
corridor	коридор
corrigible	исправимый
corroborate	подкрепить,подкреплять,подтвердить,подтверждать
corroboration	подкрепление,подтверждение
corrode	выедать,выесть,изъедать,изъесть,наточить
corroded	изъеденный
corrosion	коррозия
corrosion-resistant	нержавеющий
corrugate	гофрировать
corrugated	волнистый,рифлёный
corrugation	гофрировка
corrupt	гнилой,испортить,портить,продажный,развратить
corrupted	исковерканный,испорченный,развращённый,разложившийся
corrupting	разлагающий
corruption	гниение,грязь,коррупция,порча,разложение
corruptness	развращённость
corsage	корсаж
corsair	корсар
corselet	щиток
corset	грация,корсет
corsetiere	корсетница
corsican	корсиканец,корсиканка,корсиканский
cortege	кортеж
cortes	кортесы
cortex	кора
cortical	корковый
corundum	корунд
corvee	барщина,барщинный
corvette	корвет
corvine	вороний
corymb	щиток
coryphaeus	корифей
coryza	насморк
cosecant	косеканс
cosily	уютно
cosine	косинус
cosiness	уют
cosmetic	косметический
cosmetician	косметолог
cosmetics	косметика
cosmetologist	косметолог
cosmetology	косметология
cosmic	космический
cosmogonical	космогонический
cosmogony	космогония
cosmography	космография
cosmological	космологический
cosmology	космология
cosmonaut	космонавт
cosmonautics	космонавтика
cosmopolitan	космополит,космополитический
cosmopolite	космополит
cosmopolitism	космополитизм
cosmos	космос
cossack	казак
cost	обойтись,обходиться,себестоимость,стоимость,стоить
costal	рёберный
costate	ребристый
costly	дорогой
costume	костюм,наряд
costumier	костюмер
cosy	удобный,укромный,уютный
cot	койка,раскладушка
cotangent	котангенс
cotillion	котильон
cottage	дача,домик,изба,коттедж
cotton	нитяный,хлопок,хлопчатобумажный
cotton-cake	жмыхи
cotton-spinning	бумагопрядение
cotyledon	семядоля
couch	диван,кушетка,ложе,одр
couch-grass	пырей
cougar	кугуар,пума
cough	кашель,кашлять,перхать,покашливать,покашлять
coulisses	кулисы
coulomb	кулон
council	дума,синклит,собор,совет
councillor	советник
counsel	посоветовать,совет,советовать
counsellor	советник
count	граф,насчитать,пересчитать,подсчитать,подсчитывать
countenance	мина,поощрить,поощрять
counter	буфет,жетон,задник,марка,наперекор
counter-attack	контратака,контратаковать
counter-attracting	отвлекающий
counter-claim	контрпретензия
counter-espionage	контрразведка
counter-indicative	противопоказанный
counter-intelligence	контрразведка
counter-manoeuvre	контрманёвр
counter-movement	контрманёвр
counter-offensive	контрнаступление
counter-offer	контрпредложение
counter-proposition	контрпредложение
counter-revolution	контрреволюция
counter-revolutionary	контра,контрреволюционер,контрреволюционный
counter-signature	скрепа,скрепление
counter-steam	контрпар
counter-stroke	контрудар
counteract	противодействовать
counteraction	противодействие
counterbalance	противовес,уравновесить,уравновешивать
counterblow	контрудар
counterfeit	контрафакция,подделать,подделывать,поддельный,подложный
counterfeiter	фальшивомонетчик
counterfoil	корешок,талон
counterfort	контрфорс
countermand	контрприказ,отмена,отменять
countermarch	контрмарш
countermine	контрмина
counterpane	одеяло,покрывало
counterpoint	контрапункт
counterpoise	противовес,уравновесить,уравновешивать
counterpoising	уравновешивание
counterrecoil	накат
countersign	контрассигнация,контрассигнировать,пароль,скрепить,скреплять
countervail	уравновесить,уравновешивать
countess	графиня
counting	арифметика,отсчёт
counting-house	бухгалтерия
countless	бессчётный,бесчисленный,несметный,несчётный
country	деревенский,деревня,загородный,край,местность
country-cottage	дача
country-house	мыза
country-track	просёлок
countryside	деревня,природа
county	графство
countyman	земляк
coup	переворот
couple	парочка,припускать,прицепить,прицеплять,случать
coupled	спаренный
coupler	сцепщик
couplet	двустишие,куплет
coupling	муфта,случка,спаривание,сцепка,сцепление
coupon	купон,талон
courage	бодрость,дух,мужество,отвага,смелость
courageous	мужественный,отважный,смелый,храбрый
courier	курьер,нарочный
course	блюдо,курс,протяжение,ход
courses	курсы
court	двор,придворный,суд
court-card	фигура
courteous	вежливый,воспитанный,галантный,предупредительный,учтивый
courteously	вежливо,любезно,человечески
courtesan	кокотка,куртизанка
courtesy	вежливость,внимательность,любезность,предупредительность
courtier	придворный,царедворец
courtliness	галантность
courtly	галантерейный
courtyard	двор
cousin	кузен,кузина
coutrywoman	соотечественница
cove	бухточка,залив
covenant	соглашение
cover	выстилать,выстлать,желтить,забросать,закидать
covered	покрытый,укрытый
covering	обтяжка,обшивка,покрытие
coverlet	покрывало
covert	коверкот,тайный
covertly	секретно
covet	желать,зариться,пожелать,позариться
covetous	жадный
covetousness	жадность
cow	голландка,запугать,запугивать,затюкать,корова
cow-elephant	слониха
cow-house	хлев
cow-man	коровник
cow-shed	коровник
coward	трус,трусиха
cowardice	малодушие,трусость
cowardly	малодушный,трусливый
cowberries	брусника
cowberry	брусника
cowboy	ковбой,пастух
cowed	загнанный,запуганный
cower	приседать
cowl	капот,капюшон,колпак
coxal	тазобедренный
coxcomb	хлыщ
coypu	нутрия
crab	краб
crab-ficher	краболов
crabber	краболов
crack	истрескаться,кокать,кокнуть,ломаться,лущить
crack-up	заржать,ржать
cracked	надтреснутый,треснутый,юродивый
cracker	крекер,шутиха
cracking	крекинг,щёлканье
crackle	затрещать,потрескивание,потрескивать,треск,трещать
crackling	потрескивание,трескотня
cracovienne	краковяк
cradle	зыбка,колыбель,люлька
craft	судно,хитрость
craftsman	ремесленник
craftsmanship	искусство,мастерство
crafty	злокозненный,коварный,ловкий,продувной,хваткий
crake	дергач
cram	впихивать,впихнуть,втискивать,втиснуть,вызубривать
crammer	зубрила
cramming	зубрёжка
cramp	сведение,скоба,струбцина,струбцинка,судорога
cramp-frame	струбцина,струбцинка
crampon	скоба,шип
cranberries	клюква
cranberry	клюква,клюквенный
crane	журавль,кран
crane-operator	крановщик,крановщица
cranial	черепной
craniology	краниология
cranium	череп
crank	кривошип,мотыль,причудник,причудница,психопат
cranked	коленчатый
crankiness	валкость,чудачество
crankshaft	кривошип
cranky	валкий
crap	лаж,херня,хрень
crape	креп,флёр
crash	авария,грохот,грохотанье,грохотать,крах
crash-helmet	мотошлем
crater	воронка,жерло,кратер
crating	укупорка
cravat	галстук
crave	алкать,жаждать,изголодаться,стремиться
craven	малодушный
craving	алчущий,жажда,тяга
craw	зоб
crawfish	рак,раковый,рачий
crawl	вползать,вползти,заползать,заползти,кроль
crawlers	ползунок
crawling	ползком
crayfish	рак,раковый,рачий
crayon	пастель
craze	поветрие,помешательство
crazy	бешенный,бешеный,бредовой,бредовый,невменяемый
creak	проскрипеть,скрип,скрипеть,скрипнуть,трещать
creaking	скрипучий
creaky	скрипучий
cream	крем,кремовый,сливка,сливки,сливочный
cream-jug	сливочник
cream-skimmer	пенкосниматель
creamery	маслозавод,молочная,сыроварня
creamy	сливочный
crease	морщина,морщить,наморщить,складка,сморщить
create	выковать,выковывать,заложить,создавать,созидать
creation	детище,создание,созидание,сотворение,творение
creative	созидательный,творческий
creator	создатель,создательница,созидатель,творец
creature	выкормок,выкормыш,клеврет,креатура,создание
creatures	тварь
creche	ясли
credit	кредит,кредитный,кредитовать,титр
crediting	кредитование
creditor	заимодавец,кредитор
credo	кредо
credulity	доверчивость,легковерие
credulous	доверчивый,легковерный
creed	верование,исповедание
creek	бухточка,заводь,залив
creep	вползать,вползти,заползать,заползти,охватывать
creepily	жутко
creeping	ползучий
cremate	кремировать,сжигать
cremation	кремация,сожжение
crematorium	крематорий
creole	креол,креолка
creosote	креозот
crepe	креп,креповый,флёр
crepitation	хрип
crepuscular	сумеречный
crescendo	крещендо
crescent	полумесяц,серповидный
cress	кресс-салат
crest	вершина,гребень,хохол
crestfallen	пришибленный,унылый
cretaceous	меловой
cretinism	кретинизм
cretonne	кретон
crevice	расщелина
crew	бригада,команда,прислуга,экипаж
crew-cut	ёжик
crib	кроватка,сдувать,сдуть,скатать,скатить
crib-biting	прикуска
cricket	крикет,сверчок
cricoid	перстневидный
cries	покрикивать
crime	злодеяние,криминал,преступление,преступность
crimea	Крым
crimean	крымский
criminal	блатной,криминальный,преступник,преступница,преступный
criminalist	криминалист
criminalistics	криминалистика
criminality	преступность
criminology	криминология
crimp	гофрировать
crimped	гофрированный,завитой
crimson	алый,багровый,багрянец,багряный,зарумяниваться
cringe	извиваться,кланяться,лебезить,низкопоклонничать,подслуживаться
cringing	лакейство,низкопоклонство,раболепство
crinoline	кринолин
cripple	изуродовать,искалечить,калека,калечить,перекалечить
crippled	искалеченный,убогий
criptography	криптография
crisis	кризис,кризисный,перелом
crisis-free	бескризисный
crisp	живительный,поджаристый,хрустящий
crispness	свежесть
crispy	хрустящий
criss-cross	крест-накрест
criterion	критерий,мерило
critic	критик,оппонент
critical	дефицитный,критический,решительный,ругательный
criticism	критика,проработка
criticize	критиковать,покритиковать,продёргивать,рецензировать
critique	критика,отзыв,разбор
croak	издохнуть,издыхать,карканье,каркнуть,квакать
croaking	кваканье
croat	хорват,хорватка
croatia	Хорватия
croatian	хорватский
crochet	вязальный,вязанье,вязать
crocheted	вязаный
crocheting	вязание,вязка
crock	посуда,черепок
crockery	посуда
crockpot	мультиварка
crocodile	крокодил,крокодиловый
crocodilian	крокодиловый
crocus	крокус
croesus	крез
cromlech	кромлех
crone	карга
crook	аферист,аферистка,извилина,искривить,искривление
crooked	корявый,кособокий,криводушный,кривой,сгорбленный
crookedly	криво
crookedness	кривизна,криводушие
crop	выжинать,жать,зоб,окорнать,остригать
crop-eared	корноухий
crops	посев,хлеб
croquet	крокет,крокировать
cross	крест,крестик,крестить,перебегать,перебежать
cross-bar	поперечина
cross-beam	перекладина,поперечина
cross-breed	помесь
cross-breeding	метизация
cross-country	вездеходный
cross-cut	квершлаг,поперечный
cross-eyed	косоглазый
cross-piece	крестовина,перекладина,поперечина,распорка
cross-questioning	расспросы
cross-roads	перепутье
cross-trees	салинг
cross-wise	крест-накрест
crossbelt	перевязь
crossbill	клёст
crossbow	самострел
crossbred	смешанный
crossing	перевал,переезд,перекрёсток,переправа,пересекающийся
crosspiece	перемычка
crossroads	переезд,перекрёсток,распутье
crosswise	накрест
crossword	кроссворд
crotchet	четверть
crotchety	взбалмошный
croup	зад,круп
croupier	крупье
croupous	крупозный
crow	ворона,кукарекать,лом,торжествовать
crowbar	лом
crowd	ватага,набиваться,набиться,орава,постесняться
crowded	людный,многолюдный,набитый
crowing	пение
crown	венец,венчать,довершать,довершить,завершать
crown-glass	кронглас
crowned	коронованный,увенчанный
crowning	коронация
crows	гурьба
crozier	жезл,посох
crucial	ответственный
crucian	карась
crucible	горнило
cruciferae	крестоцветный
crucifers	крестоцветный
crucifix	распятие
crucifixion	распятие
cruciform	крестообразный
crucify	распинать,распять
crude	доморощенный,малограмотный,неграмотный,необработанный,нефть
crudely	грубо
crudeness	грубость
crudity	грубость,малограмотность
cruel	жестокосердный,жестокосердый,изуверский
cruelly	жестоко
cruelty	жестокосердие,жестокость
cruet	графинчик
cruet-stand	судок
cruise	кампания,крейсировать,круиз,поход
cruiser	крейсер
cruising	крейсирование
crumb	кроха,крошить,крошка,мякиш,покрошить
crumble	выкрасить,выкрашивать,дробиться,искрошить,искрошиться
crumbling	обвал
crumbly	рассыпчатый
crumby	рыхлый
crumple	измять,искомкать,комкать,мять,помять
crumpled	жёваный,изжёванный,измятый,мятый
crunch	проскрипеть,скрип,скрипеть,хруст,хрустеть
crunching	скрипучий
crunchy	хрустящий
crupper	круп
crusader	крестоносец
crush	давить,давка,дробить,истолочь,мельчить
crush-room	фойе
crushed	давленый,мятый,раздробленный,толчёный,убитый
crusher	дробилка
crushing	громовой,дробильный,дробление
crust	горбушка,кора,корка
crustacea	ракообразный
crustiness	зачерствелость
crutch	анкер,клюка,костыль
cry	возглас,вопль,воскликнуть,восклицать,выкрик
cry-baby	нюня,плакса,рёва
crying	вопиющий,плач
crypt	склеп
cryptogamia	тайнобрачный
cryptogamic	споровый
cryptogamous	споровый
cryptogram	криптограмма
cryptography	тайнопись
crystal	кристалл,хрусталь,хрустальный
crystal-clear	кристальный,хрустальный
crystalline	кристаллический
crystallization	кристаллизация
crystallize	выкристаллизоваться,кристаллизовать,кристаллизоваться
crystallographic	кристаллограф,кристаллография
crystalloid	кристаллоид
cub	щенок
cuba	Куба
cuban	кубинец,кубинка,кубинский
cube	куб
cubic	кубический
cubiform	кубовидный
cubism	кубизм
cubit	локоть
cubs	молодняк
cuckold	рогоносец
cuckolded	рогатый
cuckoo	куковать,кукушка
cucumber	огурец
cud	жвачка
cuddle	нежничать
cudgel	батог,дубасить,дубина,дубинка,палица
cudgels	дубьё
cudweed	сушеница
cue	кий,реплика
cuff	манжета,манжетка,обшлаг,рукавчик,тумак
cuff-link	запонка
cuffs	краги
cuirass	кираса,латы
cuirassier	кирасир
cuisine	блюдо,кухня,стол
cul-de-lampe	концовка
cul-de-sac	тупик
culinary	кулинарный
culminate	кульминировать
culmination	апогей,кульминация
culpability	виновность
culpable	грешный
culprit	виновник
cult	культ
cultivate	взрастить,взращивать,воспитать,воспитывать,вырастить
cultivated	культурный,садовый
cultivation	культивирование,обработка,привитие,разведение,разработка
cultivator	культиватор,пропашник
cultural	культурный
culture	культура,культурность,просвещённость
cultured	высококультурный,интеллигентный,культурный
cum	кончать,кончить
cumbersome	громоздкий,грузный
cumbrous	громоздкий,грузный
cumulative	кумулятивный
cuneiform	клинопись
cunette	кювет
cunning	дошлый,ловкий,лукавый,хитрость,хитроумный
cunningly	хитро
cup	крюшон,кубковый,кубок,стопка,чара
cup-bearer	виночерпий
cupboard	шкаф
cupful	чашка
cupid	Амур,купидон
cupidity	алчность
cupola	вагранка,глава,купол,маковка
cupola-furnace	вагранка
cupola-shaped	куполообразный
cupping-glass	банка
cupreous	медный
cupric	медный
cupronickel	мельхиор
cur	ублюдок
curable	излечимый
curator	куратор,хранитель,хранительница
curb	мундштук,обочина,обуздать,обуздывать,узда
curb-bit	мундштук
curbing	укрощение
curd	творожный
curdle	свёртываться,спекаться,створожиться
curdled	творожистый
curds	творог
cure	вылечивать,вылечить,вылечиться,залечивать,излечение
curia	курия
curio	редкость
curiosity	любопытство,раритет,редкость
curious	курьёзный,любознательный,любопытный
curl	виться,завивать,завиваться,завиток,завить
curl-paper	папильотка
curled	завитой
curlew	кроншнеп
curling	завивка,кёрлинг
curls	букли,кудри
curly	кудрявый,курчавый
curly-haired	курчавый
curly-headed	кудрявый,курчавый
currant	коринка,смородина
currants	смородина
currency	валюта,валютный
current	общеупотребительный,отчётный,поток,струя,текущий
curried	выделанный
currier	кожевник
curry	выделать,выделывать
curry-comb	скребница
curse	бранить,выругаться,клясть,обругать,проклинать
cursed	окаянный,проклятый
cursive	скорописный,скоропись
cursorily	бегло,мельком
cursory	беглый
curt	курчавиться,односложный
curtail	обкорнать,окорачивать,окургузить,свернуть,свёртывать
curtailed	куцый
curtailment	свёртывание,сокращение
curtain	гардина,завеса,занавес,занавесить,занавеска
curtains	драпри
curtsy	книксен,приседание,приседать,реверанс
curvature	выгиб,закругление,кривизна
curve	вираж,выгиб,закругление,закругляться,изгиб
curved	выгнутый,изогнутый,кривой
curvet	курбет
curvilinear	криволинейный
curving	закругление
cushion	борт,подушка
custodian	смотритель,смотрительница,хранитель,хранительница
custody	хранение
custom	заведение,норов,обиход,обыкновение,обычай
custom-house	таможня
customary	всегдашний,неизменный,обычный
customer	заказчик,заказчица,клиент,клиентка,покупатель
customers	клиентура
customise	настроить
customized	заказной
customs	нравы,порядок,пошлина,таможня
cut	врезать,врезаться,вруб,врубить,вскрывать
cut-back	сокращение
cut-glass	хрустальный
cut-out	прерыватель,пробка
cut-throat	головорез
cut-throats	молодчик
cutaneous	кожный,накожный
cute	ласкательный,милейший,милый,симпатичный,смазливый
cutest	милейший
cuticle	надкожница
cutlass	тесак
cutlery	прибор
cutlet	котлета,отбивной
cutter	резак,резец,тендер
cutting	вскрытие,выемка,гранение,нарезка,насечка
cutting-off	выключение
cutting-out	кройка
cuttle	каракатица
cuttlefish	сепия
cutwater	водорез
cuvette	кювет,кюветка
cv	резюме
cyanosis	синюха,цианоз
cybernetic	кибернетический
cybernetician	кибернетик
cyberneticist	кибернетик
cybernetics	кибернетика
cycle	велосипед,самокат,цикл
cyclic	циклический
cyclical	циклический
cyclist	велосипедист,велосипедистка,ездок,самокатчик
cyclone	циклон
cyclops	одноглазка
cyclostomata	круглоротые
cygnet	лебедь,лебедёнок
cylinder	валик,цилиндр
cylindrical	цилиндрический
cymbal	бубенчик,кимвал
cymbals	тарелка
cyme	щиток
cynic	циник
cynical	циничный
cynicism	цинизм
cynocephalus	павиан
cypher	шифр
cypress	кипарис
cyprian	киприотский
cypriot	киприот
cypriote	киприотка
cyst	киста
czar	царь
czarevitch	царевич
czarevna	царевна
czarina	царица
czarism	царизм
czarist	царский
czech	чех,чешский
d-valve	золотник
dab	мазнуть,мазок
dabble	полоскаться
dabbler	дилетант
dachshund	такса
dactyl	дактиль
dactylic	дактилический
dactyloscopic	дактилоскопический
dactyloscopy	дактилоскопия
dad	папа,тятя
daddy	папочка,тятя
daffodil	нарцисс
daft	придурковатый
dagestan	дагестанец,дагестанка,дагестанский
dagger	кинжал
dahlia	георгин,георгина
daily	газета,дневной,ежедневно,ежедневный,ежесуточный
dainties	разносол
dainty	деликатес,лакомый,тонкий
dairy	молочная
dairy-maid	молочница
dairymaid	доярка
dais	возвышение,помост
daisy	маргаритка
dalai-lama	далай-лама
dalamak	жечь
dale	дол,долина
dalle	кафель
dally	дремать,мешкать
daltonian	дальтоник
daltonism	дальтонизм
dam	дамба,запруда,запрудить,запруживать,матка
damage	вред,вредить,навредить,повреждать,повреждение
damaged	подмоченный
damages	возмещение
damascene	насекать,насечь
damask	дамасский
damming	перекрытие
damn	проклинать,проклясть
damnable	дьявольский
damnation	проклятие
damned	окаянный,проклятый
damning	изобличительный,обличительный
damp	влажнеть,влажный,волглый,вспрыскивать,гнилой
damp-proof	влагонепроницаемый
damped	подмоченный
damper	вьюшка,задвижка,заслонка
damping	затухание
dampish	сыроватый
dampness	влажность,гнилость,сырость
damsel	девица
dance	бал,отплясывать,пляс,плясать,пляска
dancer	плясун,плясунья,танцовщик,танцовщица,танцор
dancing	пляска,танцевальный
dancing-classes	танцкласс
dancing-master	танцмейстер
dandelion	одуванчик
dandified	щеголеватый,щегольской
dandle	качать,качнуть
dandruff	перхоть
dandy	красавчик,модник,стиляга,франт,щегольской
dandyish	вылощенный,щеголеватый
dane	датчанин,датчанка
danger	опасность
dangerous	опасный
dangerously	опасно
dangle	болтаться,вихляться,волочиться,мотаться,свисать
danish	датский
dank	промозглый
dankness	промозглость
dappled	пятнистый
dare	дерзать,дерзнуть,осмеливаться,осмелиться,отваживаться
dare-devil	бесшабашный,лихач,смельчак,сорвиголова,удалец
daring	дерзание,дерзкий,дерзновение,дерзновенный,дерзость
dark	бесперспективный,мрачно,мрачный,полутёмный,почернелый
dark-blue	тёмно-синий
dark-browed	чернобровый
dark-brown	карий
dark-chestnut	карий
dark-complexioned	смуглолицый
dark-eyed	черноглазый
